Designator,Footprint,Comment,Mid Y,Mid X
*1,XTAL-ABS06,XTAL_ABS06,45.429mm,3.937mm
*2,Reed_MK24-B-3,Reed_MK24,14.097mm,11.557mm
C1,402,22.5pF,46.228mm,1.651mm
C10,402,0.1 uF,47.244mm,14.859mm
C11,Tant0805,1uF,3.302mm,28.194mm
C12,Tant0805,1uF,3.937mm,21.59mm
C13,603,4.7uF,6.677mm,6.35mm
C14,402,82pF,4.264mm,2.794mm
C15,603,22uF,4.191mm,1.27mm
C16,X,220uF,17.272mm,53.086mm
C17,402,2.2uF,14.097mm,51.435mm
C18,603,10uF,3.81mm,53.975mm
C19,402,1.0uF,50.165mm,29.591mm
C2,Tant0805,1uF,51.435mm,27.94mm
C20,402,1.0uF,44.069mm,29.972mm
C21,402,10nF,44.069mm,28.067mm
C3,402,22.5pF,44.704mm,1.651mm
C4,402,0.1uF,40.132mm,-0.254mm
C5,Tant0805,1uF,38.862mm,19.685mm
C6,Tant0805,1uF,38.862mm,22.987mm
C7,402,0.1uF,49.403mm,10.414mm
C8,402,0.1uF,49.403mm,9.271mm
C9,402,0.1 uF,37.338mm,10.287mm
D1,Diode0603,LED_0603,17.272mm,20.066mm
D2,Diode0603,LED_0603,28.956mm,12.065mm
L1,0805_(M2125)_Ferrite,220Ohm,40.513mm,1.27mm
L2,Inductor_470NH,470nH,3.143mm,10.16mm
L3,Inductor_-_duplicate,6.8uH,7.061mm,40.566mm
P1,HDR1X2,Header 2,53.594mm,3.81mm
P10,Iridium9603,Iridiuim9603,38.446mm,49.227mm
P12,HDR1X2,UltraCap,20.828mm,52.451mm
P2,HDR1X6,Header 6,53.467mm,22.352mm
P3,HDR1X4,Header 4,50.165mm,19.939mm
P4,Header_2x5_50mil,Cortex Debug,53.721mm,10.795mm
P5,Tactile-B3U-1000,Tactile,21.59mm,9.398mm
P6,MICROUSB-VERT,microUSB-vert,23.271mm,21.399mm
P7,HDR1X2,Battery,1.524mm,16.764mm
P8,Hdr_4x1_2mm,HDR_4x1_2mm,22.781mm,15.113mm
P9,DIP1,DIP1,17.018mm,11.557mm
Q1,SOT-523,DMN5L06TK-7,50.038mm,6.223mm
R1,3-0603,100l,34.925mm,29.845mm
R10,3-0603,2k,5.715mm,28.194mm
R11,3-0603,330X,15.494mm,19.939mm
R12,3-0603,330X,28.956mm,8.509mm
R2,3-0603,100k,37.338mm,28.956mm
R3,3-0603,10K,26.162mm,9.398mm
R4,3-0603,4.7k,50.165mm,13.843mm
R5,3-0603,4.7k,48.006mm,17.907mm
R6,3-0603,150k,1.597mm,3.429mm
R7,3-0603,100k,35.814mm,1.778mm
R8,3-0603,100k,34.163mm,1.778mm
R9,3-0603,680k,4.279mm,4.318mm
U1,QFN127P600-8N,ATSAMD21GA-MUT,42.291mm,9.906mm
U2,ADXL345,ADXL343,42.1185mm,21.304mm
U3,SOT-23-OT5_N,MCP73831T-2DCI/OT,4.445mm,24.638mm
U4,TPS62822_SOP8,TPS62822,2.64mm,6.517mm
U5,TPS6103x,TPS61032,8.763mm,52.451mm
U6,MF05A_N,LP3985IM5-3.3,47.625mm,28.956mm
